,id,date,text,generic complaint about situation at the front,specific complaint mentioning Shoigu or Gerasimov
95,723,2023-04-10,"Vladlen Tatarsky served the people. The division between the people and the so-called ""elite"" is getting bigger and bigger. We have practically no elite except for the official and around the official. Therefore, my opinion, maybe it sounds a little rude, is to shit on the officials. Whether there are Tatars or not. Moreover, they are already beginning to be disappointed by the existence of such as the Tatars and many others, including me. Those who are now fighting for Russia's mother. Because they are ready to go with everyone, ready to kiss the enemy in the ass. After all, you did not touch them and let them enjoy the benefits of life that they stole from the people.",0,0
97,737,2023-04-11,"As for the tattoos of Dmitry Utkin, which you love to discuss, you need to know the rules. When you do a tattoo contest, sometimes a person with a small dot on the extreme flesh can come. And if you suck this object, you will see that there is a map of the Moscow subway. This is a piece of advice for the guys who were investigating from the center of the dossier, here they are telling me. Therefore, if you want to check something, suck it.",0,0
98,738,2023-04-11,"If I knew this news from you, it would be terrible. The strike is almost below the waist. I would say the strike is significantly below the heels.",0,0
96,736,2023-04-11,"If you watched the film ""17 moments of spring"", there is a colonel Isaev, in the role of Stirlitz, was forced to do the same certain actions that were associated with the symbolism of the Third Reich. In order to defeat Nazism, it is necessary to try it on. Dmitry Utkin tries on Nazism to himself. [References]",0,0
101,741,2023-04-12,"I watched this video. It's bad when it cuts off people's heads, but I have not found anywhere that this is happening under the guise of a bang, and the fighters of the ChVK ""Wagner"" are participating in the execution.",0,0
102,743,2023-04-12,"Why do I constantly talk about mobilization of society? Because not only those who are mobilized should be mobilized, those who go to the front. The whole society should be mobilized, starting with ordinary workers or village workers who are ready for this process. And when we travel through the regions of our recruiters, they see that people are ready to mobilize and understand that there is a war for the very existence of Russia. Officials are certainly not ready to mobilize. And we see it everywhere, they do not change. Look how many officials we had who are not just against the war today, but who fled Russia and got a whole state out of it. Chubais, Dvorkovich, those who fled because they did not support the war between Russia and the West. Those who fled because they just decided to find a way to get out of their state. They are happily accepted abroad. And a huge number of those who remained in Russia because they cannot just pull out and take away what they want to take away, and therefore wait for some moment. Most of the current officials and the official elite around them are sitting quietly and thinking about how something would happen. But the most difficult and the most terrible thing for them is to change the system. They are all elements of this system. And therefore, when you start shaking this system, it is very, very toxic for them. The main thing in this system is the position you are in. Ideology, the country, the future of this country, are the least interested in these people. And therefore, Dvorkovich is a vivid, brightest example of this. Dvorkovich is a piece of paper. Dvorkovich was one of the closest people to Medvedev. Dvorkovich held various positions in various sectors of the economy, and the most closed decisions were made through him to this day. Who should be responsible for him going crazy somewhere in Israel, Spain, or wherever else he managed to escape? Why was he released? Why didn't anyone pay attention to this? And people like Dvorkovich, I have hundreds of people on my list. Why are we silent about this? Why don't we want to clean up this anthill that has been created over the years and which over the years has turned into a community of people who are ready to develop something in this country, a community of people who are only interested in their own well-being. And how many more such people are inside the system? The system requires global sanitation. The system requires sanitation and a reduction in the number of participants in this bureaucratic community. Those who are in the system are divided into those who fled, those who fled continue to get rich, and those who just get rich but have not fled yet.",1,0
99,739,2023-04-12,"There are constantly questions about the ChNPP. In fact, the ChNPP ""Wagner"" has never been a ChNPP. Never. I have already said, there was a battalion-tactical group ""Wagner"", after that, its general Korotkov called the ChNPP, and the ChNPP ""Wagner"" began. The ChNPP ""Wagner"" is the same as any commercial structure, the structure is aimed at making money. The ChNPP ""Wagner"" has never earned money. It has always been a defender of the interests of the Russian Federation in different directions for my funds. No one before me and the ChNPP ""Wagner"" set such tasks. No matter how much gossip there was about the tasks set by the Ministry of Defense, the State Defense, or so on. We ourselves chose who to protect and protected. Today they protect the interests of the Russian Federation in Ukraine. The ChNPP is a commercial structure, and therefore the ChNPP ""Wagner"", the ChNPP ""Wolves"", and so on, and the like, are structures that can, like the ChNPP, engage in security of anything and anywhere. And the salaries that are rumored to be there in the ChNPP ""Gazprom"", the ChNPP ""Gazprom"" - 500 thousand rubles salary for a fighter - for God's sake! Another thing, the question is whether a fighter wants to fight if he has received such money for one month, or it is easier for him to live a year calmly on the first salary. The ChNPP ""Wagner"" is a private army, it is private only because it is managed by people without bureaucracy, without bubbles, which is typical of any private structure, including a business structure. Therefore, the ChNPP ""Wagner"" is effective. The ChNPP ""Wagner"" has planes, helicopters, all-caliber artillery, the ChNPP ""Wagner"" has air defense, and everything else, including satellites and other high-tech things. Therefore, we are effective. We are a community of like-minded people, a combat brotherhood, which is aimed at entering history for centuries as great warriors, who were able to prove the strength of Russian weapons. And the rest of the story - you want to make money, you want to wear a beautiful ribbon - it's not for us, guys. It's further, all the same ChNPPs that you are talking about. Bye.",0,0
100,740,2023-04-12,"I have been dealing with the recruitment of new fighters of the ChVK ""Wagner"". All over the country, all regions actively support the recruitment, helping to place advertising and helping in absolutely everything that we need. There are two regions that are an exception. This is the Yaroslavl region, where for some reason we were told that the team came from the very top, poking their finger into space, to remove all the advertising. And also St. Petersburg. St. Petersburg is already a disease, it's a clinic. This is a huge number of officials, officials-bastards, who are trying in any way to harm any patriotic moves. Therefore, the police capture their registry office. Therefore, the advertising of the ChVK ""Wagner"" is completely and totally prohibited in the city of St. Petersburg. Comrade Beglov, open your eyes, bitch, and make a decision. Are you for Russia, mother, or against it? Therefore, we will pour advertising with our brains through the Prosecutor General's Office in the city of St. Petersburg. to the city of St. Petersburg.",0,0
103,744,2023-04-13,"I have already said that no one identifies ChVK Vagner or Bakhmut in the video. As for Osechkin, Osechkin is an absolute asshole and a fucking moron. And as for Andrey Medvedev, I have already said that this scum that spent two days in ChVK Vagner and who the fuck can it identify? This scum of Andrey Medvedev can identify someone. Sorry for my French. Therefore, the nonsense is absolutely complete. It does not correspond to reality. I answer your question directly.",0,0
104,745,2023-04-13,"There is such an anecdote, which ends with the phrase ""so big, but you believe in fairy tales."" Therefore, the political scientist Ischenko and other very positive, kind guys, they may be the best analysts in the world, military. But I believe that it is better to prepare for the worst, especially since all the trends are already there. And who sees how many people, I can say this. Tell me who in our country has intelligence satellites except for the Chevrolet Cavadier. And therefore, we see 200,000 Ukrainian reserves, but 60,000 fleeing Ukrainian soldiers in fear, we do not see yet. Let's go.",0,0
105,746,2023-04-13,"I don't know what is happening in the Canary Islands or in New York, I clearly know what is happening in Artyomovsk, he is Bakhmut. The EU continues to pull up reserves and transfer them to the city line. The hardest bloody battles are underway. Therefore, it is too early to talk about the complete encirclement of Bakhmut. 80% of Bakhmut is under our control. The remaining parts are resisting persistently.",0,0
106,748,2023-04-13,"I don't know what a black list is, I know that the pirates had a black mark. There is such an anecdote, when one pirate comes to another and says in a comment ""blue mark"", do you know what it is? He says, ""not black, but also nothing good."" Therefore, we include the EU in the blue list and give it a blue mark.",0,0
107,750,2023-04-13,"Today I was going to a meeting, just on the leaked American document, including with the intelligence officials of ChVK Wagner and analysts who are engaged in the United States of America. We draw the following conclusions. This document is the last Nanai-American warning. It was leaked deliberately in order to ask certain questions. I think that about this, those colleagues who participated with me in the meeting, in the near future, will give a more detailed layout. Now, about the killed and wounded. We entered into combat on March 19, 1922. From the first day of the fighting, to this day, our assessment of the destroyed enemy, only a load of 200, that is, killed without return losses, 38 thousand people. Of which 32 thousand people are on the Bakhmut, Solidar and the surrounding area, when the Bakhmut is blocked. Bakhmut.",0,0
108,753,2023-04-14,"I saw a report by Evgeny Poddumny, in which the musicians and orchestras are talking. You can call them balalaikas, composers, anyone. As they say, only in the oven did not put. ChVK Wagner - write down, is called Wagner, because Dmitry Utkin founded ChVK Wagner, was the first person who took up arms and went to protect the interests of Russia in the ranks of a new structure, which after that began to protect the interests of Russia everywhere. Therefore, ChVK Wagner. As for the mention, if there is a ban on the federal channels, you can not call it at all, what's the difference? Someone is, somewhere goes. Around, in the end, paratroopers and all the rest. Therefore, why argue about it? And if you want to figure out who was there, who was called, ask Evgeny Poddumny, I do not know, maybe he knows better.",0,0
109,755,2023-04-15,"The article is called ""Only fair fight and no agreement"" - that's what's important. And plus - the state of the depths, which can interfere with the fair fight. This is the basis of the article.",0,0
110,757,2023-04-15,"This is the state of the depths that I talked about yesterday. Some die in order to tear off this flag, and others, trampling on their bodies and spitting in their closed eyes, hang it and glorify it.",0,0
111,761,2023-04-15,"I will say figuratively - when a person is shit, then do not think that shit will stick to him, he is shit himself.",0,0
116,778,2023-04-17,"I can say the following, one of those ""shot"" in quotes, turned out to be shot, and continues to fight. For the rest, now we understand. About what ""Kosichkin"" filmed, I watched the pieces of video, what was done, I can say the following, if at least one of these accusations in my address is confirmed, I am ready to bear responsibility according to any laws and rules. But if it is not confirmed, then I will send a list of 30-40 people who are spitting saliva like ""Kosichkin"", there is a whole list of them, including ""scoundrels"" who fled from Russia, which the Prosecutor General's Office of Ukraine is obliged to pass to me, to, so to speak, ""fair"" court over these people, because they will be ""non-peaceful residents"" for us, and especially not children, whom we have never touched and do not touch, are the most rude lie, but will be enemies, and we will act with them in a special way. Under these conditions, I am ready to start working with the Prosecutor General's Office of Ukraine immediately. The End",0,0
115,775,2023-04-17,"Unfortunately, I do not have the technical ability to watch the video in full. As soon as it appears, we will certainly analyze it in detail and give a full assessment. As for the underage soldiers of the Air Force, I think that if Osechkin is talking somewhere in the Ukraine, let Vladimir Zelensky give it to us, because this maniac and degenerate discredits the Air Force. As for the shootings of children, of course, no one ever shoots a cop or children. This is absolutely unnecessary to anyone. We came there to save them from the regime under which they were. I'm sorry, the last question. I did not see about the career. I have no career, so it is impossible to destroy it. But taking into account the good relationship with the Mesh channel, tell me how to answer, I will be happy to play along. For example, I will say that ""Oh, horror, horror, I feel with my fingertips how my career is destroying me."" *Subscribe*",0,0
112,767,2023-04-17,"Today, a group of young guys from the city of ""Peremen"" has posted a petition on their Telegram channel for the removal of Governor Beglov from office. In St. Petersburg, there are men and women, there are old people and young people, there are liberals and radical patriots, but they all have the same opinion - Beglov has no place in St. Petersburg. And so I think - well done guys! I am for the removal of Beglov, and I ask everyone to support their petition.",0,0
113,772,2023-04-17,"So, the ratio of the number of the enemy to the number of shells that need to be used and the number of sanitary losses depends on the number of shells that are not received. We take very conditionally shells over 120 mm caliber. I repeat again, the numbers are extremely conditional and can only emphasize the order. For example, around Artemovsk 80,000 Ukrainian soldiers, of which 30,000 are directly in trenches around, which, in fact, do not need to be destroyed. 30,000 Ukrainian soldiers, to contain, destroy and exert enough pressure on them in order to move plus or minus 100-200 meters per day, 6,000 shells are required. If 3,000 shells are given, then 3,000 is not enough. If there are 6,000 shells per day, then, for example, our sanitary losses will be 20 people per day, irrecoverable, and 40 people per day, wounded, 300. And the loss of the enemy will be about 500 people. If the number of shells is twice as small, then our losses, very conditional, will be 120 people per day, wounded - 240 people per day, and the loss of the enemy will be about 300 people per day. Thus, the missing shells in the amount of 3,000 pieces increase by 0.02 per 100 people, by 0.03 per 200 people. Here, in fact, elementary arithmetic that must be adhered to.",1,0
114,773,2023-04-17,"Absolutely right. I have said many times that the Ministry of Defense has accepted our flanks, and the flanks are the area of responsibility of the Ministry of Defense.",1,0
122,787,2023-04-18,"As for the arrival of Ivan Aleksandrovich to Avdeevka, I can only come to Kiev in return. We can't meet him in Bakhmut. Well done, you rewarded the fighters near Avdeevka. Let him transfer to us, to Bakhmut, and reward again posthumously. And so I'm leaving, I'm iron.",1,0
117,779,2023-04-18,"Yesterday, the head of the League of Veterans of Local Conflicts, Andrey Troshev, the Hero of Russia, wrote a statement to initiate a criminal case on the fact of the scandalous video discrediting ChVK ""Wagner"", and this is the main thing, the main thing is not me, discrediting ChVK ""Wagner"", which came out on the resource ""Gulag-No"". This morning, a person called us, ChVK ""Wagner"", one of those who was on this video, and said that he is standing on the roof of a ten-story building, wants to commit suicide, he was convinced that this ""proko"" will be little, will say that it was done with him out of revenge, ChVK ""Wagner"", and therefore it is better to talk to our journalists, and will help us to unravel the crime that committed ""Gulag-No"". At the Federal News Agency, you can watch this video, then they will keep you informed about the investigation, after some time I will make another statement about how it happened, and why what we know now. Of course, we will withdraw the statement on the initiation of a criminal case against this person, since he cooperates actively, and will actively cooperate in order to expose the scoundrels from ""Gulag-No"" and foreign special services.",0,0
118,781,2023-04-18,"GULAG-UNET works closely with the Western special services, and it is not about the falsifications that they arrange. They have an archive of prisoners who had certain ""sins in the zone"" according to the camp concepts, that is, either they were secretly raped, or something else. At the same time, they work with a group of ""soldiers of the SIN"" and this is another investigation. And then, these prisoners are used for different purposes. What we have just seen, it was a task of falsification of the ChVK ""Wagner"". The ChVK ""Wagner"" has done too much for the Western special services, that they decided to expose their agents. But we must clearly understand that these prisoners with these ""sins"", which are secretly kept by Osechkin and his curators, they will be used for explosions in the subway and for other terrorist acts. This is a very dangerous situation, and therefore, of course, we will make every effort and help the law enforcement agencies to fully expose this situation. And everyone who can participate in it, including Osechkin, we must make an effort to find him, arrest and punish in the appropriate way. This is an attempt to destroy us from the inside, and we will look for who is behind this, including inside the state.",0,0
119,783,2023-04-18,"According to the information we receive from the prisoners and former prisoners, a group of persons, including former prisoners and staff of the VSIN, actively cooperate with foreign groups, including ""Gulag-Unet"". This group of persons collects evidence on prisoners and former prisoners, which is associated with the fall of these prisoners in various erroneous situations, including often prolonged. In order to use this evidence, the contacts of the so-called ""Osechkin"", a former prisoner, are used in one of the camps of the Russian Federation, which fled abroad. For a long time, this evidence was used to get money, to commit various illegal actions, which are not significant. However, during the SVO, during the special military operation, in fact, the war, in which the Russian Federation participates, this evidence began to be used for more global purposes. At the moment, there are all the grounds to assume that the prisoners recruited in this way, who ""have nothing to lose"", can, as a result of this recruitment, commit more significant illegal actions. Elimination of various persons, who defend the interests of the Russian Federation, the conduct of sabotage, including in the front line, the conduct of sabotage and terrorist acts on the territory of the Russian Federation. Therefore, I consider it my duty to inform the law enforcement agencies about this. Of course, we are ready to provide all-round assistance to counteract this attempt of foreign special services, which use the blackmail of the Russian Federation citizens, to damage our country.",1,0
120,784,2023-04-18,"I am addressing Alexey Savich, the call center ""Kucheryay"", which we have been looking for for a day, but have not been able to find. I guarantee that no one will pursue him, including illegally. He needs to contact the call center ""ChVK"" and inform us why he gave this falsification, who is behind it, how he was blackmailed and whether there were any other tasks. We will not shake the skeletons in the closet, which are probably there, and therefore he went to cooperate with Gulag. Therefore, ""Kucheryay"", contact the call center ""ChVK"" and come, you will tell everything. I guarantee you, you will see a living and harmless person.",0,0
121,786,2023-04-18,"A petition that was published just a day ago by young patriots from the city of Peremen has already gained almost a million votes. Most of them for the resignation of Beglov, as expected. Smolny is trying to turn the situation around by buying a huge number of bots. And information about this is coming in every minute. But these bots can't turn the situation around. Petersburgers, for Beglov to leave. Thank them for that. Bye.",0,0
124,795,2023-04-19,"He came to Viktor Zolotov to check the watch and talk about the situation and interaction. He paid attention to my statement in the video where we are with Roman Gavrilov, the former Rosgvardiy General, taking the rescued residents of Bakhmut from the front line. I said, ""Uncle Roma, the former Rosgvardiy General, therefore good."" I correct myself. Uncle Roma, the former Rosgvardiy General, therefore good and experienced. End of Part One",0,0
125,797,2023-04-19,"- Katrin, baby, I can honestly say that the Washington Post has a little tired me with its questions about Sudan. I have already answered these questions many times. This is the first. And the second. I can tell you one important secret information. There is no industrially interesting gold in Sudan. Therefore, all your paranoia about the over-earnings of Sudan has no basis. If the Washington Post asks some significant questions, I will certainly answer them. But now it is simply shameful to answer the nonsense that you are trying to develop. development.",0,0
123,794,2023-04-19,"I answer your question. There was no forced inclusion in the CVK Wagner. This is the first. And the second. The CVK Wagner does not take military personnel. It's just impossible. Therefore, what is reported is complete nonsense. Let's make a joint bet if required. Who and when I offered them to sign. Perhaps some swindlers. But we'll deal with it in the strictest way.",0,0
126,811,2023-04-20,"Today I received an amazing call. I got a call from a well-known anti-globalist from the West, with whom we cooperated, and he said, ""You have so confused the Russian oligarchs that they have agreed to throw the CIA into one erotic newspaper, most likely he means the Washington Post, a material to shit you. We look forward to it.""",0,0
127,813,2023-04-21,"As for the Vysotsky-Povsky, everything is very simple. I sent them a message to write a normal article. That's all. As for Syria, my people in Syria are quite enough. And they have been coming for a long time. As for the oil and gas industry, despite all the agreements, the Syrian government has not paid us anything. And there must be a lot of money. Therefore, all the gas that goes to electricity for the Syrian people is, consider it, our gift to the Syrian people. Which we do not exclude, solely because the children go to school and work in the industry. Because the money that is earned, I do not know where it goes, but it does not go to us. This is a real question that we will ask again. As for the vulnerability to the whole world. Ukrainian pilots work in Libya and Mali. When the war began, they began to pull closer to home. But a lot of them remained. We, in relation to all, including the enemy, observe a lot of direct honesty and decency. And we will tell him, if the Ukrainian unit will stand with us, next to this distant country, then we will not be afraid of him. Because these people are fulfilling their tasks. And if they earn this money, they feed their families. Just like the boys and girls with both hands and feet. Like we are in St. Petersburg, Moscow, or somewhere else in Russia. And therefore, outside the SVO, outside our current fight, we have no complaints. Whether you are in the forest or in the jungle, we ask you for mercy. Here is the water, here is the food, here is the blood. No one will cut your throat at night. In Nazi Germany, count, in the letters of the Germans, we fought in such a war, that you have little to give. And today their Chancellor is with us, and we kiss you for that. Therefore, we must read their stories. -",0,0
128,814,2023-04-21,"It's too early to talk about the formation of a boiler for the army in Artemovsk. As before, they are in the so-called operational environment, when the roads are being shot through. There is no boiler. And so there are heavy battles. And those who speak the language forward, they only create problems for us.",0,0
129,816,2023-04-21,"Rachel, we have not had sexual contact with you, as far as I remember, and we did not even bathe together in the bathhouse, and you are talking about how I discussed the question of the coup in the chat. How can you even know the smells of my conversations? What you are asking is complete nonsense. But the question is, you did not fuck with me, but you discuss in detail the construction of my genitalia, and this is very bad. First look at it, and then ask.",0,0
130,823,2023-04-21,"Let's go over Rammstein-11. Supply of air defense systems, first. Yes, it is really important for Ukraine to protect its strategic objects, including inside the country, where we strike. The effectiveness of these strikes must be assessed, but nevertheless, they will protect. Second. Allies conduct training and will conduct. And it means that, as Germany said, 25,000 Ukrainian military are conducting right now. This suggests that they have 25,000 places, it means that it can be just a stream. And they are likely to be able to multiply 3-4 times. This means that simultaneous training will be 100,000. 3-4 months of 100,000 is a lot. 8,000 completed and returned home. This is also not bad, although not a very large number, their losses today are significant. But we are killing those who were preparing in Ukraine today, and those who will come from Germany. They will be technologically educated. The West has handed over 230 tanks and 1,500 other armored vehicles. This is also a sufficient number to make a serious countermeasure. Green light for procurement through the NSC, the Armed Forces Agency, it means that they will take into debt whoever wants to pay for the whole of America. And the last thing is that they are ready, Americans, Europeans, and the NATO bloc to support them. This also does not bring us anything good. The statement that all NATO members are waiting for Ukraine in NATO also does not bring anything good. And it means that we need to be careful. The jokes are over. We need to not just be angry, but we need to be so angry that we can only fight with the claws of the opponent. The second point is when will the offensive of Ukraine take place. Ukraine constantly excites us that the offensive will begin soon. This is a feature called ""the boy in the lake"". The boy shouted, shouted, shouted, shouted that he would soon drown. He played a game with his mom and dad, and when he began to drown, they did not come. They are waiting for us not to strain more, and they thought that they were morons and did not react to their shouts. Today the offensive does not begin for quite understandable reasons. This is a monstrous slagheap. Even pickups do not pass normally through the fields on the territory today, not to mention the Urals, heavy equipment, up to the tanks. It will take another ten days to dry up the soil. When will they attack? They will probably decide for themselves, I will not be put in the news. But the fact is that they will attack, and therefore we must be ready tenfold so that it does not happen again as it was in 1941, when we chewed our teeth and reported to Stalin that everything was fine, that there was a treaty with Germany. There will be no treaty, they will come and try to tear us apart, and we must resist. Mom will not come, mom died, so now we are like in an orphanage, we are for ourselves.",1,0
131,828,2023-04-22,"It's like you need to shit on your own people to the elite, that even when your son is really going to fight, people in no case want to believe, because it's easier for the people to perceive that the elite are scoundrels and scum than to give them the opportunity to do something good and good. Peskov appealed to me for advice in the summer of this year, since his son was going to go to war and it was useless to talk him out of it. I didn't advise him to go to the Ministry of Defense, because he would either stay in the headquarters or go to the meat, so I took him to myself on the documents, changing his name, name and patronymic. Only I and the head of the staff knew about this. He spent three weeks of training in Molkino, first as a navigator, because he wanted to be a navigator. After that, when he moved to Lugansk, it was necessary to expand the combined artillery division, and he was put as a member of the ""Uragan"" calculation. At ""Uragan"" he was a loading TZM, a transport loading vehicle. Their machine worked very well. The commander of the machine was a ""frozen"" guy who participated in all the ""frauds"" and from the front line worked on the furthest points of the enemy's location. After six months, he was released on today's day. He worked there from minute to minute, as they say, from call to call, showing courage and heroism. No one from the ""Uragan"" calculation knew that his father was someone. The only thing he was different in was that he knew English and looked too smart that he lied there, why he knew him, I do not know. Of course, for the population, this is an unexpected situation, an extraordinary situation, because everyone is used to the fact that the children are elite, they tell everyone the story that they just want to become outstanding scientists, and therefore they sit and pull their asses somewhere in the universities. Parents hide them, and no matter who I talk to, everyone says, ""Are you crazy? Why do I need this? Let those fight."" And so, as they say, the workers' peasant army, the workers' peasants are being chewed, and the elite is struggling for life, and the workers' peasants are dying, their children are dying. In Tsarist Russia, the nobles fought in the same way, and we have no nobility, we have fat scoundrels, and there are people who are fighting for them.",1,0
132,829,2023-04-22,"Although if the children of the elite worked at least in the headquarters, then the plus would also be very large, they would come home and say, ""Dad, dad, I have such a fucking thing going on at the headquarters, and maybe dad would at least hit the finger and check the information, and then would bring this information where it should be.""",0,0
133,830,2023-04-22,"Dear Vladimir Alexandrovich, we are not going to give presents to Bakhmut on May 9. We are not superstitious. You have riots among the military in the hour of the Miara and Konstantinovka. They drop their weapons, get up and leave. Give them the opportunity to live longer. Do not kill thousands and tens of thousands of Ukrainians with your own hands. to be continued...",0,0
136,834,2023-04-23,"Of course, for such an unpleasant act, as the service of the sons of the ChNPP Wagner Dmitry Sergeevich, we urgently need to fire the person in charge, because he, at least, violated the corporate ethics of the state. The children of representatives of the Russian political elites and the children of representatives of the very same deep state should study in Harvard, in Oxford, and take the positions of directors of state enterprises, banks, or, at the worst, be governors or vice-governors. Therefore, Dmitry Sergeevich acted very badly, giving his consent to Nikolai at the service of the ChNPP Wagner.",0,0
134,831,2023-04-23,"Of course, I heard this audio interception long before it got in the media. I can say one thing, that this audio interception that the Ukrainians are shooting our wounded prisoners, it has a very serious humanitarian significance. And we will never violate the international laws of humanism. And the law of humanism begins with the moment when you took a person prisoner. You took a prisoner, start taking care of him, treat him, do not inflict him with injuries, and give him home after a while for exchange or just because you like it. We gave sometimes and just like that. Therefore, we will not violate the rules of humanism. And we will just destroy everyone on the battlefield. Therefore, this law will be called the law of 300. We still do not know what the name of our guy who was wounded, shot Ukrainian scoundrels. And we will kill all those who are on the battlefield. Not a single prisoner is not to be taken.",1,0
135,833,2023-04-23,"The other day I talked to a big man and asked a question, why for a very long time the word ""ChNPP Wagner"" was not spoken on TV, and now, when they say ""ChNPP Wagner"", they try to say ""assault squads"", and the word ""ChNPP Wagner"" is taboo. And he told me, because when you took the ""Solidary"" and other settlements, then instead of the Russian flag you stick the flag of the ChNPP Wagner. I decided to figure out this problem. And that's what I found interesting. At the Rostov-on-Don, when the Victory Banner was unloaded, it was not a Soviet flag, it was the assault banner of the 150th Idrisskoye Division. This is the assault banner. No one has any doubts that the Idrisskoye Division 150 belonged to the Soviet Army. And therefore, no one has any doubts that the ChNPP Wagner, although it does not belong to the Russian Armed Forces. This is a Russian brand. We are from Russia, and this is obvious and understandable to everyone. And the absence of the word ""ChNPP Wagner"" on TV is nothing more than a measure of the writing. By the way, as for the pride of Russia and Russian brands, representatives of various foreign states come to me all day to discuss the possibility of creating in their countries an analogue of the ChNPP Wagner with the same structure and the same management system for the tasks that we are now performing in Africa. And no one even needs the level that we are performing in Ukraine. And they all promise green light. And there are three levels of light. Green is when everyone is happy, when there is a national rise, when everyone wants to be involved. This is when Gagarin flies into space. The second is when you have to do something, prove to the authorities that you can, and then they will support you. And the red is what we have today on the territory of the Russian Federation. This is when you rush to victory, but all sorts of sticks are inserted into your wheels in place inside your state, so that there are no successful brands. Because those who insert sticks into the wheels themselves can not do anything, and others are not given.",1,0
141,843,2023-04-24,"and I carefully studied the statement of Mr. Blinken, the only thing I still did not understand Mr. Blinken is afraid that there is a war in Sudan and there has not yet appeared Chavak Wagner, I will think about his concerns and if the Sudanese people turn to me, I will certainly send a peacekeeping mission to Sudan Chavak Wagner if there was Chavak Wagner, I think that the war would not have started in Sudan Chavak Wagner does not starts wars she always ends them",0,0
140,842,2023-04-24,"[music] the group of Chavak Wagner completely chokes the enemy on a baton and will not go to Slavyansk-Krematorsk on their own, so we ask you kindly to open the operational space completely.",0,0
137,836,2023-04-24,"Yes, indeed, the publication of these documents simply broke all the cards. A huge number of conspiracy theories, but few people knew the real reason for the start of the war. In 2016, we successfully elected President Trump, and the Democrats were offended by us. Therefore, when in 2020 the Democrats needed a victory, and the representatives of President Biden turned to me with a request to hang out there, we gladly helped them. And then they told us that they had a creative solution to the Ukrainian problem. Namely, this is not just a change in the political orientation of Ukraine, but a complete and total reduction of the population, at least up to 3-4 million people, and then the settlement of friendly people. For example, the transfer of these territories to the Israelis, so that we could communicate with them, there is herring under the fur coat and everything else, everything that we are used to. And, in fact, the Bakhmut meat grinder is a great start of this utilization of the principle of the entire Ukrainian nation. After all, everything went fine. Vladimir Zelensky suddenly, unexpectedly, saw that there were too many losses. And then the Americans took and leaked our monstrous plan to both Budanov and Zelensky. Very disorganized, very bad. I can say that I will definitely not believe more to the CIA and the US State Department. So disorganized. We agreed that you would tell Zelensky, Zaluzhny and Budanov that it was necessary to continue to utilize the Bakhmut, and you took and handed over all our plans. Oh, oh, oh.",1,0
138,839,2023-04-24,"Let's divide this question into components. The first one is ""Bahmut"". ""Bahmut meat grinder"". Our task is to outsmart the Ukrainian army, not to let them gather in a counteroffensive. We do it more than successfully, and I can give my guys a score of 5 points. And I can give myself a score of 3 points. Because we had to outsmart them more than we could, so that no Ukrainian soldier would survive. But as soon as we finish taking ""Bahmut"", as soon as we kick out the last soldier from it, or destroy the territory of ""Bahmut"", on that day the Ukrainian counteroffensive will begin. I say ""on that day"", it can be several days, a week, but it's very close, because a huge number of Ukrainian troops will be sent. As for our offensive after taking ""Bahmut"", which was announced a month ago by the Ministry of Defense, I can say that we can do it today, and today no one prevents us from going out to the operational space, because the situation around ""Bahmut"", around ""Bahmut"" within a radius of 10 km, will not change after we take it. It will be exactly the same. Those groups of Ukrainian troops, which are now inside ""Bahmut"" and are attacking us, they occupy a square, in fact, of 2 km. And so they do not prevent anyone around now, and the operational space right to Warsaw is already fully open, if we consider that it will be after taking ""Bahmut"". After we take ""Bahmut"", of course, the Ukrainian army, taking advantage of the fact that the ""Vagner"" guys are drawn into the city, will cut us from both sides with flanks. And so I'm talking about flanks. Further, as soon as ""Bahmut"" is taken, Zelensky will need a great victory. And for this he will start the very counteroffensive. Why hasn't it started yet? First, because of the rain. And absolutely everything is stuck in the fields, you can only use roads. Even pickups will be stuck, not to mention the tanks. The second factor is May 9. Zelensky's task is to screw up the holiday for us. Because we have a psychological dependence on holidays. We have to take Palmyra on March 8, some other city on February 23, and all events are done on May 9. Because we ourselves can't do anything, and we try to stick to the memory of our ancestors all the time. And so for many decades. Therefore, May 9 is also a serious date for Zelensky. Or he will put another reference in the list of intelligence information. Every time he says that it is necessary to advance, we take certain steps and strain the muscles as much as we can. He fixes it and clearly understands our defense. Therefore, I have already said that this is the principle of a boy who was always shouting ""guard"" in the water. So the vectors converge. Taking Bakhmut, counteroffensive, supplying foreign equipment, our complete carelessness. All the vectors converge in one point. Zelensky must be hit without fail. And no matter how much he is criticized, he does it professionally. And we have to do the same. And while we go, we eat and drink, we chew our snot and celebrate the holidays.",1,0
139,840,2023-04-24,"Yes, indeed, Chavak Wagner is an army of good and justice, we save from bankruptcy, from a sluggish mother-in-law and from any harmful habits, guys, sign up for Chavak Wagner [References]",0,0
142,844,2023-04-25,"when you are aiming to do business, you do it right away and the bureaucratic machine that Beglov created and which is so carefully develops, it is not aimed at fulfilling obligations to people, it is aimed to fill your pockets, so people did not get paid",0,0
143,845,2023-04-25,"A large number of fakes are being thrown in, and this is one of them. I'm not going to exchange ammunition for my guys, even for friendship with the Lord God. [music]",0,0
